fkey,frequency,account_date,date,amount,duration,payments,status
107,POPLATEK MESICNE,970806,980714,290820,60,4847.0,C
108,POPLATEK MESICNE,950604,970121,38520,12,3210.0,A
109,POPLATEK MESICNE,960510,980125,176328,36,4898.0,C
110,POPLATEK TYDNE,951108,970422,293880,60,4898.0,D
111,POPLATEK MESICNE,970417,980719,271260,60,4521.0,C
112,POPLATEK MESICNE,960306,961029,86184,12,7182.0,A
113,POPLATEK MESICNE,961230,970826,83628,36,2323.0,C
114,POPLATEK MESICNE,970814,981005,44640,24,1860.0,C
115,POPLATEK MESICNE,970427,970912,214596,36,5961.0,C
116,POPLATEK MESICNE,960201,961003,101520,12,8460.0,A
117,POPLATEK MESICNE,960502,970804,92400,12,7700.0,A
118,POPLATEK MESICNE,960806,970317,22932,36,637.0,C
119,POPLATEK MESICNE,970901,980307,23328,12,1944.0,C
120,POPLATEK MESICNE,960113,960909,71460,36,1985.0,C
121,POPLATEK TYDNE,960107,961128,61560,12,5130.0,A
122,POPLATEK MESICNE,970408,970822,78600,24,3275.0,C
123,POPLATEK MESICNE,930808,941030,170256,24,7094.0,A
124,POPLATEK MESICNE,930606,940730,299088,36,8308.0,B
125,POPLATEK TYDNE,960226,971104,53472,12,4456.0,A
126,POPLATEK MESICNE,941121,951118,182040,60,3034.0,C
127,POPLATEK TYDNE,940522,951212,92976,24,3874.0,A
128,POPLATEK MESICNE,940319,950329,185952,48,3874.0,C
129,POPLATEK MESICNE,950827,960926,139464,36,3874.0,D
130,POPLATEK MESICNE,930330,950116,347952,48,7249.0,C
131,POPLATEK MESICNE,960425,970205,415800,60,6930.0,C
132,POPLATEK MESICNE,960413,970224,72504,24,3021.0,C
133,POPLATEK MESICNE,970208,981202,230220,36,6395.0,C
134,POPLATEK MESICNE,950211,960718,20196,36,561.0,C
135,POPLATEK TYDNE,961030,980601,314688,48,6556.0,C
136,POPLATEK MESICNE,950102,960629,46320,24,1930.0,A
137,POPLATEK MESICNE,960319,970804,48312,24,2013.0,C
138,POPLATEK MESICNE,960404,971112,541200,60,9020.0,D
139,POPLATEK MESICNE,941209,951104,99336,24,4139.0,A
140,POPLATEK MESICNE,931025,941211,199680,60,3328.0,C
141,POPLATEK MESICNE,960804,970511,159744,48,3328.0,C
142,POPLATEK MESICNE,950121,960429,49440,60,824.0,C
143,POPLATEK MESICNE,940225,950401,156672,36,4352.0,A
144,POPLATEK MESICNE,971027,981006,17952,12,1496.0,C
145,POPLATEK MESICNE,931127,950130,95808,12,7984.0,A
146,POPLATEK MESICNE,960707,971226,293160,60,4886.0,C
147,POPLATEK MESICNE,950909,960415,200976,48,4187.0,C
148,POPLATEK MESICNE,930227,940110,24516,12,2043.0,A
149,POPLATEK MESICNE,940521,960112,165120,60,2752.0,C
150,POPLATEK MESICNE,951116,970613,466608,48,9721.0,C
151,POPLATEK MESICNE,961204,980213,428784,48,8933.0,C
152,POPLATEK PO OBRATU,941113,960613,360000,48,7500.0,C
153,POPLATEK MESICNE,951109,960802,89340,60,1489.0,C
154,POPLATEK MESICNE,960821,980521,136344,24,5681.0,C
155,POPLATEK MESICNE,930308,940308,91632,12,7636.0,A
156,POPLATEK MESICNE,961225,980830,231168,48,4816.0,C
157,POPLATEK PO OBRATU,930705,931208,93888,36,2608.0,A
158,POPLATEK TYDNE,970616,980427,93888,36,2608.0,C
159,POPLATEK MESICNE,970402,981108,69624,36,1934.0,C
160,POPLATEK TYDNE,970706,980615,156420,60,2607.0,C
161,POPLATEK MESICNE,960213,970930,66432,24,2768.0,C
162,POPLATEK TYDNE,960126,970504,335280,48,6985.0,C
163,POPLATEK MESICNE,930320,940705,111384,24,4641.0,A
164,POPLATEK MESICNE,931020,940716,50460,60,841.0,C
165,POPLATEK MESICNE,960904,970519,268320,60,4472.0,C
166,POPLATEK MESICNE,971021,980829,437460,60,7291.0,C
167,POPLATEK MESICNE,940730,960229,380160,60,6336.0,C
168,POPLATEK MESICNE,930618,940517,272520,60,4542.0,C
169,POPLATEK MESICNE,960327,980120,504000,60,8400.0,C
170,POPLATEK MESICNE,930530,941221,31248,12,2604.0,A
171,POPLATEK MESICNE,960604,980417,41256,12,3438.0,C
172,POPLATEK MESICNE,960409,971206,24792,24,1033.0,C
173,POPLATEK PO OBRATU,961014,980708,88608,12,7384.0,C
174,POPLATEK MESICNE,960503,960914,48744,36,1354.0,C
175,POPLATEK PO OBRATU,970111,980605,390000,48,8125.0,C
176,POPLATEK MESICNE,960420,961204,155616,48,3242.0,C
177,POPLATEK MESICNE,940526,960418,277884,36,7719.0,D
178,POPLATEK MESICNE,930508,940902,82896,12,6908.0,A
179,POPLATEK MESICNE,930523,950321,15420,12,1285.0,A
180,POPLATEK TYDNE,960128,960828,253512,36,7042.0,D
181,POPLATEK MESICNE,940812,960224,123216,48,2567.0,C
182,POPLATEK MESICNE,960327,961115,321180,60,5353.0,C
183,POPLATEK MESICNE,961215,980921,253560,60,4226.0,C
184,POPLATEK MESICNE,961018,980515,130896,24,5454.0,C
185,POPLATEK MESICNE,960826,980616,30012,12,2501.0,C
186,POPLATEK MESICNE,930810,950103,177744,48,3703.0,D
187,POPLATEK MESICNE,951129,961215,222180,60,3703.0,D
188,POPLATEK MESICNE,951118,970501,39024,12,3252.0,A
189,POPLATEK MESICNE,950311,961004,77184,36,2144.0,C
190,POPLATEK MESICNE,961011,970827,68124,12,5677.0,A
191,POPLATEK MESICNE,951229,970921,94512,12,7876.0,B
192,POPLATEK MESICNE,970808,981127,276084,36,7669.0,C
193,POPLATEK MESICNE,961012,971208,19248,12,1604.0,A
194,POPLATEK MESICNE,960827,970209,146064,24,6086.0,C
195,POPLATEK MESICNE,931105,940705,4980,12,415.0,A
196,POPLATEK TYDNE,961222,980311,40632,12,3386.0,C
197,POPLATEK MESICNE,970520,980627,71820,36,1995.0,C
198,POPLATEK PO OBRATU,960902,970610,207264,48,4318.0,C
199,POPLATEK TYDNE,960606,971020,68664,24,2861.0,C
200,POPLATEK MESICNE,960313,970307,67464,12,5622.0,A
201,POPLATEK MESICNE,970408,980529,140688,48,2931.0,C
202,POPLATEK MESICNE,941208,950801,44088,24,1837.0,A
203,POPLATEK MESICNE,970829,980922,174840,60,2914.0,C
204,POPLATEK MESICNE,960719,980524,174960,24,7290.0,C
205,POPLATEK TYDNE,940830,960524,161496,36,4486.0,C
206,POPLATEK MESICNE,930727,950530,158760,60,2646.0,C
207,POPLATEK MESICNE,951028,970901,14028,12,1169.0,A
208,POPLATEK MESICNE,960428,970920,271584,48,5658.0,C
209,POPLATEK MESICNE,930312,940910,23628,12,1969.0,A
210,POPLATEK MESICNE,930324,950205,316140,60,5269.0,D
211,POPLATEK MESICNE,950815,960723,444864,48,9268.0,C
212,POPLATEK MESICNE,970508,971105,460980,60,7683.0,D
213,POPLATEK MESICNE,940501,950102,76380,12,6365.0,A
214,POPLATEK MESICNE,941125,950402,18564,12,1547.0,A
215,POPLATEK TYDNE,960219,961103,68544,24,2856.0,A
216,POPLATEK MESICNE,940407,960208,63252,12,5271.0,A
217,POPLATEK MESICNE,930119,940928,23052,12,1921.0,A
218,POPLATEK MESICNE,960423,970502,307200,60,5120.0,D
219,POPLATEK MESICNE,961123,980918,74916,36,2081.0,C
220,POPLATEK MESICNE,971018,980210,153936,24,6414.0,C
221,POPLATEK MESICNE,970708,980308,334620,60,5577.0,C
222,POPLATEK MESICNE,960418,980316,133848,24,5577.0,C
223,POPLATEK MESICNE,970928,980712,96984,36,2694.0,C
224,POPLATEK TYDNE,960510,971014,107352,36,2982.0,C
225,POPLATEK MESICNE,970616,980104,63576,12,5298.0,C
226,POPLATEK MESICNE,960922,970329,84600,36,2350.0,D
227,POPLATEK MESICNE,961119,970320,84288,48,1756.0,C
228,POPLATEK TYDNE,970125,971228,106128,36,2948.0,C
229,POPLATEK MESICNE,931103,950405,158976,48,3312.0,C
230,POPLATEK MESICNE,950722,951128,137904,24,5746.0,B
231,POPLATEK MESICNE,960526,970731,41856,48,872.0,C
232,POPLATEK MESICNE,971005,980603,151200,36,4200.0,C
233,POPLATEK MESICNE,960503,970815,100800,24,4200.0,D
234,POPLATEK MESICNE,960819,980621,212976,36,5916.0,C
235,POPLATEK MESICNE,951004,970828,405780,60,6763.0,C
236,POPLATEK MESICNE,940408,940827,79632,24,3318.0,A
237,POPLATEK MESICNE,931014,940629,244560,60,4076.0,C
238,POPLATEK MESICNE,970220,981104,41988,12,3499.0,C
239,POPLATEK PO OBRATU,960204,970522,164196,36,4561.0,C
240,POPLATEK MESICNE,960723,970809,51360,12,4280.0,B
241,POPLATEK MESICNE,931116,941208,51408,24,2142.0,A
242,POPLATEK MESICNE,960429,971209,100128,24,4172.0,C
243,POPLATEK MESICNE,970108,981030,327660,60,5461.0,C
244,POPLATEK MESICNE,960311,970329,90156,12,7513.0,A
245,POPLATEK TYDNE,940115,950208,221280,48,4610.0,C
246,POPLATEK MESICNE,930910,950223,97224,24,4051.0,A
247,POPLATEK MESICNE,950705,970401,74040,12,6170.0,A
248,POPLATEK MESICNE,950426,951031,73836,36,2051.0,A
249,POPLATEK MESICNE,930607,940926,87816,12,7318.0,A
250,POPLATEK MESICNE,960616,961031,192744,36,5354.0,C
251,POPLATEK MESICNE,930602,941003,192744,36,5354.0,A
252,POPLATEK MESICNE,960903,980209,321240,60,5354.0,C
253,POPLATEK TYDNE,951227,960514,66480,24,2770.0,B
254,POPLATEK TYDNE,970413,980803,86184,36,2394.0,C
255,POPLATEK MESICNE,951009,970103,93960,60,1566.0,C
256,POPLATEK MESICNE,941110,960925,15192,24,633.0,A
257,POPLATEK MESICNE,950103,960101,135360,48,2820.0,C
258,POPLATEK MESICNE,970803,980505,81144,36,2254.0,C
259,POPLATEK MESICNE,970206,980103,61320,60,1022.0,C
260,POPLATEK MESICNE,930605,940604,300204,36,8339.0,A
261,POPLATEK MESICNE,940827,950805,20220,12,1685.0,A
262,POPLATEK MESICNE,960608,961010,64656,48,1347.0,C
263,POPLATEK MESICNE,970924,980112,66696,24,2779.0,C
264,POPLATEK MESICNE,960721,970317,66696,24,2779.0,D
265,POPLATEK MESICNE,960615,970618,33348,12,2779.0,A
266,POPLATEK PO OBRATU,961212,971213,87528,24,3647.0,C
267,POPLATEK MESICNE,951015,960825,402000,60,6700.0,C
268,POPLATEK MESICNE,970103,970528,106944,24,4456.0,C
269,POPLATEK MESICNE,950808,970315,162624,48,3388.0,C
270,POPLATEK MESICNE,961028,970314,97176,24,4049.0,C
271,POPLATEK MESICNE,970414,971104,168264,36,4674.0,C
272,POPLATEK MESICNE,950213,950811,107640,24,4485.0,A
273,POPLATEK MESICNE,970221,970907,204780,60,3413.0,C
274,POPLATEK MESICNE,940114,950709,465072,48,9689.0,C
275,POPLATEK MESICNE,970808,971124,219456,48,4572.0,C
276,POPLATEK MESICNE,961218,971227,465504,48,9698.0,D
277,POPLATEK MESICNE,960608,970225,59136,48,1232.0,C
278,POPLATEK MESICNE,940604,950818,21396,12,1783.0,A
279,POPLATEK MESICNE,960204,960822,141648,24,5902.0,A
280,POPLATEK MESICNE,950413,960304,213300,36,5925.0,C
281,POPLATEK MESICNE,970621,980727,335184,48,6983.0,D
282,POPLATEK MESICNE,960312,970318,76080,12,6340.0,A
283,POPLATEK MESICNE,930620,931104,117024,24,4876.0,A
284,POPLATEK MESICNE,940206,960103,98832,48,2059.0,C
285,POPLATEK MESICNE,930220,940723,143904,24,5996.0,A
286,POPLATEK MESICNE,950729,961115,359760,60,5996.0,C
287,POPLATEK MESICNE,961014,970830,289920,48,6040.0,C
288,POPLATEK TYDNE,960819,970306,150180,60,2503.0,C
289,POPLATEK MESICNE,960122,961128,179328,48,3736.0,C
290,POPLATEK TYDNE,960111,960803,258444,36,7179.0,C
291,POPLATEK TYDNE,940801,960203,128988,36,3583.0,D
292,POPLATEK MESICNE,960212,970518,165168,36,4588.0,C
293,POPLATEK MESICNE,951215,961109,110112,24,4588.0,A
294,POPLATEK MESICNE,950803,960725,11400,12,950.0,A
295,POPLATEK TYDNE,950827,960210,61656,24,2569.0,B
296,POPLATEK MESICNE,960412,970209,317520,60,5292.0,C
297,POPLATEK MESICNE,950805,970504,53232,48,1109.0,C
298,POPLATEK MESICNE,930621,940810,323472,48,6739.0,A
299,POPLATEK MESICNE,950403,960111,20352,48,424.0,C
300,POPLATEK TYDNE,961208,980127,57060,12,4755.0,C
301,POPLATEK MESICNE,970513,980323,22356,36,621.0,C
302,POPLATEK MESICNE,970224,980716,58764,12,4897.0,C
303,POPLATEK MESICNE,960203,970428,399120,60,6652.0,C
304,POPLATEK TYDNE,970629,971228,79824,12,6652.0,A
305,POPLATEK MESICNE,950818,960425,320976,48,6687.0,D
306,POPLATEK MESICNE,930701,940804,14628,12,1219.0,A
307,POPLATEK PO OBRATU,930623,940711,173808,24,7242.0,A
308,POPLATEK PO OBRATU,931025,940510,193968,36,5388.0,A
309,POPLATEK MESICNE,950714,961112,276300,60,4605.0,C
310,POPLATEK MESICNE,960112,971126,129312,24,5388.0,D
311,POPLATEK MESICNE,960704,970202,117420,60,1957.0,C
312,POPLATEK MESICNE,930113,931122,79608,24,3317.0,A
313,POPLATEK MESICNE,970918,980909,170832,48,3559.0,C
314,POPLATEK MESICNE,960916,980331,240528,48,5011.0,C
315,POPLATEK MESICNE,930429,940227,300660,60,5011.0,C
316,POPLATEK MESICNE,961020,970307,90180,36,2505.0,C
317,POPLATEK MESICNE,950518,970124,68340,60,1139.0,C
318,POPLATEK TYDNE,960906,970821,202848,48,4226.0,C
319,POPLATEK TYDNE,930521,940407,149340,60,2489.0,C
320,POPLATEK MESICNE,960426,970905,158184,36,4394.0,C
321,POPLATEK MESICNE,941022,960603,368880,60,6148.0,C
322,POPLATEK MESICNE,930414,930924,174744,24,7281.0,B
323,POPLATEK MESICNE,930322,940617,174744,24,7281.0,B
324,POPLATEK MESICNE,970219,971001,78696,36,2186.0,C
325,POPLATEK MESICNE,951217,971004,349392,48,7279.0,C
326,POPLATEK MESICNE,930816,940911,209184,48,4358.0,A
327,POPLATEK MESICNE,950324,960718,32640,48,680.0,C
328,POPLATEK MESICNE,970811,980419,140880,60,2348.0,C
329,POPLATEK TYDNE,940714,960410,44628,12,3719.0,A
330,POPLATEK MESICNE,960316,970121,221880,60,3698.0,C
331,POPLATEK MESICNE,960227,960809,44376,12,3698.0,A
332,POPLATEK PO OBRATU,960710,971228,177504,48,3698.0,C
333,POPLATEK MESICNE,930208,941102,83016,12,6918.0,A
334,POPLATEK MESICNE,940617,950425,225420,60,3757.0,C
335,POPLATEK TYDNE,941115,950725,285600,60,4760.0,C
336,POPLATEK PO OBRATU,950108,950710,98592,24,4108.0,A
337,POPLATEK MESICNE,970904,981121,99216,36,2756.0,C
338,POPLATEK MESICNE,930720,950316,103680,60,1728.0,D
339,POPLATEK PO OBRATU,950419,970108,232560,48,4845.0,C
340,POPLATEK MESICNE,950125,960221,290700,60,4845.0,D
341,POPLATEK PO OBRATU,950705,951216,232560,48,4845.0,C
342,POPLATEK MESICNE,950608,951128,31176,24,1299.0,A
343,POPLATEK MESICNE,950714,960506,123600,60,2060.0,C
344,POPLATEK MESICNE,960718,970914,177804,36,4939.0,C
345,POPLATEK MESICNE,930125,940418,65184,12,5432.0,A
346,POPLATEK MESICNE,961025,980623,184620,60,3077.0,C
347,POPLATEK MESICNE,931126,940606,87216,48,1817.0,B
348,POPLATEK MESICNE,970606,980618,78720,48,1640.0,C
349,POPLATEK MESICNE,930907,940930,141240,24,5885.0,A
350,POPLATEK MESICNE,931121,941103,61056,48,1272.0,A
351,POPLATEK MESICNE,930824,950304,28248,24,1177.0,A
352,POPLATEK TYDNE,930319,931201,464520,60,7742.0,B
353,POPLATEK MESICNE,930422,941002,11736,24,489.0,A
354,POPLATEK MESICNE,930828,940708,276660,36,7685.0,B
355,POPLATEK MESICNE,970308,980528,5148,12,429.0,C
356,POPLATEK MESICNE,960828,980419,321360,60,5356.0,C
357,POPLATEK MESICNE,960915,980106,407952,48,8499.0,D
358,POPLATEK TYDNE,960919,970928,360864,48,7518.0,D
359,POPLATEK MESICNE,970615,971022,26208,36,728.0,C
360,POPLATEK TYDNE,940307,950108,270648,36,7518.0,B
361,POPLATEK MESICNE,970122,970730,67608,24,2817.0,C
362,POPLATEK MESICNE,931227,941104,59760,24,2490.0,A
363,POPLATEK MESICNE,961111,971228,247920,48,5165.0,C
364,POPLATEK MESICNE,960513,970208,247920,48,5165.0,D
365,POPLATEK TYDNE,930726,941220,398640,60,6644.0,C
366,POPLATEK MESICNE,961101,970610,87360,24,3640.0,C
367,POPLATEK MESICNE,930721,940607,87360,24,3640.0,A
368,POPLATEK MESICNE,950405,960811,85632,48,1784.0,C
369,POPLATEK MESICNE,931126,950212,79920,60,1332.0,C
370,POPLATEK MESICNE,950527,960806,270384,48,5633.0,C
371,POPLATEK MESICNE,930801,941025,17508,12,1459.0,A
372,POPLATEK MESICNE,950315,960916,181020,60,3017.0,C
373,POPLATEK PO OBRATU,951009,960212,72408,24,3017.0,B
374,POPLATEK MESICNE,930329,941220,36684,12,3057.0,A
375,POPLATEK MESICNE,950508,961111,110136,24,4589.0,A
376,POPLATEK MESICNE,961101,970617,34572,12,2881.0,A
377,POPLATEK MESICNE,960727,980517,10944,36,304.0,C
378,POPLATEK MESICNE,960717,970615,150912,36,4192.0,C
379,POPLATEK MESICNE,940208,950206,43164,12,3597.0,A
380,POPLATEK MESICNE,930126,940526,76908,12,6409.0,B
381,POPLATEK MESICNE,960723,980428,104964,12,8747.0,C
382,POPLATEK MESICNE,970913,981008,38496,12,3208.0,C
383,POPLATEK MESICNE,961218,970506,76992,24,3208.0,C
384,POPLATEK TYDNE,930305,940331,212400,36,5900.0,A
385,POPLATEK MESICNE,961020,970824,390660,60,6511.0,C
386,POPLATEK MESICNE,950327,951112,60156,36,1671.0,B
387,POPLATEK MESICNE,950708,970522,100260,60,1671.0,C
388,POPLATEK MESICNE,960103,970709,294384,48,6133.0,C
389,POPLATEK MESICNE,960210,971225,116496,24,4854.0,C
390,POPLATEK MESICNE,960625,961023,22968,36,638.0,C
391,POPLATEK MESICNE,960608,970924,127200,48,2650.0,C
392,POPLATEK TYDNE,930315,931208,95400,36,2650.0,A
393,POPLATEK MESICNE,961228,980712,64860,60,1081.0,C
394,POPLATEK TYDNE,930915,950114,137880,60,2298.0,D
395,POPLATEK MESICNE,940728,951031,37908,12,3159.0,A
396,POPLATEK MESICNE,960511,970317,17184,12,1432.0,A
397,POPLATEK MESICNE,950819,970430,124344,36,3454.0,C
398,POPLATEK MESICNE,961022,971221,49320,36,1370.0,C
399,POPLATEK TYDNE,970512,981206,139488,24,5812.0,C
400,POPLATEK MESICNE,940601,951205,194880,48,4060.0,C
401,POPLATEK MESICNE,930908,940526,25944,24,1081.0,A
402,POPLATEK MESICNE,961012,970212,475680,48,9910.0,C
403,POPLATEK MESICNE,950727,960725,96768,36,2688.0,C
404,POPLATEK MESICNE,961226,970616,288720,48,6015.0,C
405,POPLATEK MESICNE,971012,980522,495180,60,8253.0,C
406,POPLATEK PO OBRATU,970717,971109,63972,36,1777.0,D
407,POPLATEK MESICNE,960906,980208,194160,48,4045.0,C
408,POPLATEK MESICNE,960820,980610,234336,48,4882.0,C
409,POPLATEK PO OBRATU,930414,931209,47016,12,3918.0,A
410,POPLATEK MESICNE,930917,941106,48672,36,1352.0,A
411,POPLATEK TYDNE,950409,960919,74124,36,2059.0,C
412,POPLATEK MESICNE,970911,980416,49488,24,2062.0,C
413,POPLATEK MESICNE,961207,971130,203940,60,3399.0,C
414,POPLATEK TYDNE,970612,981117,99744,24,4156.0,C
415,POPLATEK PO OBRATU,960702,980517,49872,12,4156.0,C
416,POPLATEK MESICNE,950619,960804,155640,24,6485.0,A
417,POPLATEK MESICNE,930906,950606,63360,60,1056.0,C
418,POPLATEK MESICNE,960423,980115,152160,60,2536.0,C
419,POPLATEK MESICNE,960830,970210,73260,60,1221.0,C
420,POPLATEK MESICNE,970928,980312,49044,12,4087.0,C
421,POPLATEK MESICNE,930226,940105,80952,24,3373.0,A
422,POPLATEK MESICNE,950407,960429,30276,12,2523.0,B
423,POPLATEK MESICNE,960728,971208,30276,12,2523.0,A
424,POPLATEK TYDNE,970808,980419,110736,48,2307.0,C
425,POPLATEK MESICNE,930318,940315,55368,24,2307.0,A
426,POPLATEK MESICNE,930419,940526,63312,48,1319.0,A
427,POPLATEK MESICNE,930728,940316,91200,24,3800.0,A
428,POPLATEK MESICNE,940829,950103,288468,36,8013.0,A
429,POPLATEK MESICNE,960516,971019,590820,60,9847.0,C
430,POPLATEK MESICNE,940903,951102,41952,12,3496.0,A
431,POPLATEK MESICNE,970524,980711,12792,12,1066.0,C
432,POPLATEK TYDNE,950117,951231,309600,48,6450.0,C
433,POPLATEK MESICNE,960402,970817,153504,48,3198.0,C
